layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.11.self_attn.q_proj,-0.40660063227017723,2.6163812478383384,30.448107210795083,7.019069321950277,11.637484253667974,3.8412636548402235,False
model.layers.8.self_attn.q_proj,0.20792210946480433,2.6768982211748757,24.244544219970702,7.229980079332988,9.056950679424498,3.698387845367224,False
model.layers.4.self_attn.k_proj,-0.005162219844836121,2.722832465171814,19.281810919443767,7.430693554878235,7.081524142434859,3.541879281928822,False
model.layers.3.mlp.gate_proj,-1.2057404001553853,1.573328013221423,31.011578845977784,4.50815329750379,19.710803389102292,3.42699177701821,False
model.layers.23.mlp,-0.015959601123662046,2.4300507724285128,55.088644949595135,6.361207381884257,22.669741268327538,3.3088285244238755,False
model.layers.23.mlp.down_proj,-0.015959601123662046,2.4300507724285128,55.088644949595135,6.361207381884257,22.669741268327538,3.3088285244238755,False
model.layers.21.mlp.gate_proj,-1.1363148510456085,1.5237317363421121,40.38448009490967,3.823436772823334,26.50365062829657,3.3074267709530196,False
model.layers.19.self_attn.q_proj,0.007882370048901067,2.3995505293210346,20.63915141423543,5.763617300987244,8.60125367679659,3.069807166236626,False
model.layers.10.self_attn.q_proj,-0.16268073519070944,2.2300962805747986,23.241607316335042,5.002742036183675,10.421790797549697,2.9972691273593726,False
model.layers.18.self_attn.q_proj,0.03711703772423789,2.2843793471654257,23.271571413675943,5.225431664784749,10.187257757909046,2.9459121289472288,False
model.layers.4.self_attn.q_proj,0.2176217923561732,2.122190062204997,19.601249504089356,4.55361119111379,9.236326480294984,2.8875362384754992,False
model.layers.12.self_attn.q_proj,0.21804868280887604,2.0832223494847617,25.365429814656576,4.39015527566274,12.17604911203119,2.862047050980224,False
model.layers.5.mlp.gate_proj,-1.3424603899319967,1.1305840780337653,7.30412011941274,3.089681794246038,6.46047808459984,2.846617428236364,False
model.layers.15.self_attn.q_proj,0.0863470001767079,2.176505613327026,20.945883878072102,4.750328707695007,9.623625193609703,2.834121736209332,False
model.layers.16.self_attn.q_proj,-0.22181324884295464,2.01691970427831,19.899203936258953,4.137195551395417,9.86613102540352,2.751113818514842,False
model.layers.6.self_attn.q_proj,-0.13465426427622637,2.0977316737174987,15.863468599319457,4.422224072615306,7.562197413461171,2.750230319389867,False
model.layers.23.mlp.gate_proj,-0.6643608376383782,1.662063338359197,16.420466725031535,3.2334697167078654,9.879561426149092,2.7485667619298524,False
model.layers.13.self_attn.q_proj,0.20762045991917452,2.013288088639577,17.84380497932434,4.103743966420492,8.863011814851578,2.7199130633493165,False
model.layers.14.self_attn.q_proj,0.08312418839583795,2.0766516009966534,21.29655793507894,4.324528964360555,10.25523379541577,2.6947810237827046,False
model.layers.5.self_attn.q_proj,-0.004550421439732114,2.105360766251882,18.88036756515503,4.435729845364889,8.967754553065353,2.6431617177587565,False
model.layers.7.self_attn.k_proj,0.24693637499585747,1.9366319954395295,10.860765671730041,3.8968762623611837,5.608066008017762,2.629336656751683,False
model.layers.16.self_attn.k_proj,0.047224963031476365,2.081002898514271,9.006459140777588,4.474265741060178,4.327939581087635,2.618933831462641,False
model.layers.17.self_attn.q_proj,0.02357143584934723,2.061745345592499,17.533021036783854,4.254120898246765,8.503966103427366,2.5957685323007964,False
